USA, 1, 0, 0
NATO, 1, 0, 0
UN, 1, 0, 0
UK, 1, 0, 0
FAQ, 1, 0, 0
CDROM, 1, 0, 0
NBA, 1, 0, 0
UBC, 1, 0, 0
ATM, 1, 0, 0
PIN, 1, 0, 0
URL, 1, 0, 0
BBC, 1, 0, 0
CBC, 1, 0, 0
IPA, 1, 0, 0
HTML, 1, 0, 0
Lin, 0, 1, 0
Kim, 0, 1, 0
Doug, 0, 1, 0
Tim, 0, 1, 0
Greg, 0, 1, 0
Yi, 0, 1, 0
Olaf, 0, 1, 0
Olga, 0, 1, 0
Diana, 0, 1, 0
Marie, 0, 1, 0
Anne, 0, 1, 0
chair, 0, 0, 1
ant, 0, 0, 1
ruler, 0, 0, 1
glass, 0, 0, 1
couch, 0, 0, 1
panda, 0, 0, 1
bear, 0, 0, 1
fence, 0, 0, 1
sword, 0, 0, 1
printer, 0, 0, 1
paper, 0, 0, 1
